 -8.1249013e+000 -6.2959449e-001 -3.3593585e-001 -1.0778277e-002  2.0643455e-001  1.8664930e-001  3.1816630e-001  2.9781205e-001  2.8765841e-001  3.0500059e-001  2.0353400e-001  2.6037642e-001  1.1154145e-001  2.2169549e-001  1.3000210e-001
 -8.1228270e+000 -6.2489140e-001 -3.3238761e-001 -9.2139364e-003  2.0617160e-001  1.8463266e-001  3.1388601e-001  2.9339758e-001  2.8502612e-001  3.0324926e-001  2.0309609e-001  2.6119900e-001  1.1280829e-001  2.2333875e-001  1.3123175e-001
 -8.1233623e+000 -6.2656882e-001 -3.3383434e-001 -1.0432493e-002  2.0541424e-001  1.8467389e-001  3.1532368e-001  2.9529398e-001  2.8648312e-001  3.0428436e-001  2.0362155e-001  2.6116389e-001  1.1238713e-001  2.2277301e-001  1.3090357e-001
 -8.1241703e+000 -6.2804775e-001 -3.3480494e-001 -1.0374311e-002  2.0620779e-001  1.8591151e-001  3.1682655e-001  2.9645603e-001  2.8686803e-001  3.0446286e-001  2.0340760e-001  2.6063183e-001  1.1191535e-001  2.2220752e-001  1.3040011e-001
 -8.1225920e+000 -6.2535323e-001 -3.3312103e-001 -1.0819613e-002  2.0434068e-001  1.8327153e-001  3.1394626e-001  2.9446457e-001  2.8647000e-001  3.0439011e-001  2.0400318e-001  2.6174885e-001  1.1280372e-001  2.2326337e-001  1.3139629e-001
 -8.1250375e+000 -6.2980735e-001 -3.3606800e-001 -1.0618176e-002  2.0679124e-001  1.8707421e-001  3.1850561e-001  2.9793959e-001  2.8754961e-001  3.0486618e-001  2.0334241e-001  2.6015616e-001  1.1141809e-001  2.2158464e-001  1.2987539e-001
 -8.1246585e+000 -6.2921175e-001 -3.3571280e-001 -1.0739813e-002  2.0635991e-001  1.8651230e-001  3.1795027e-001  2.9755383e-001  2.8747034e-001  3.0483234e-001  2.0343012e-001  2.6033810e-001  1.1155729e-001  2.2177993e-001  1.3007112e-001
 -8.1231556e+000 -6.2528756e-001 -3.3256375e-001 -8.7401294e-003  2.0701169e-001  1.8556322e-001  3.1454560e-001  2.9355418e-001  2.8468947e-001  3.0290835e-001  2.0268716e-001  2.6076926e-001  1.1258946e-001  2.2312856e-001  1.3096841e-001
 -8.1237024e+000 -6.2721234e-001 -3.3426236e-001 -1.0380786e-002  2.0581483e-001  1.8527960e-001  3.1603264e-001  2.9581048e-001  2.8662140e-001  3.0432086e-001  2.0346819e-001  2.6086497e-001  1.1214013e-001  2.2250209e-001  1.3066161e-001
 -8.1245103e+000 -6.2852744e-001 -3.3506133e-001 -1.0070446e-002  2.0684991e-001  1.8666473e-001  3.1743746e-001  2.9672341e-001  2.8673111e-001  3.0429539e-001  2.0313910e-001  2.6030651e-001  1.1172550e-001  2.2200120e-001  1.3016828e-001
